camera_orientation,timestamp,num_rois,roi_detected_points,roi_threshold_used,roi_kl_divergence,roi_is_valid
left,27.556,3,2,23,0.0,1
left,27.556,3,3,23,0.0,1
left,27.556,3,2,23,0.0,1
left,27.604,3,2,23,0.0,1
left,27.604,3,3,23,0.0,1
left,27.604,3,2,23,0.0,1
left,27.656,3,2,23,0.0,1
left,27.656,3,3,23,0.0,1
left,27.656,3,2,23,0.0,1
left,27.692,3,1,23,0.0,1
left,27.692,3,2,23,0.0,1
left,27.692,3,1,23,0.0,1
left,27.704,3,1,23,0.0,1
left,27.704,3,1,23,0.0,1
left,27.704,3,1,23,0.0,1
left,27.724,3,2,23,0.0,1
left,27.724,3,3,23,0.0,1
left,27.724,3,2,23,0.0,1
left,27.76,3,2,23,0.0,1
left,27.76,3,3,23,0.0,1
left,27.76,3,2,23,0.0,1
left,27.776,3,2,23,0.0,1
left,27.776,3,2,23,0.0,1
left,27.776,3,1,23,0.0,1
left,27.796,3,0,0,0.0,1
left,27.796,3,1,23,0.0,1
left,27.796,3,1,23,0.0,1
left,27.808,3,2,23,0.0,1
left,27.808,3,3,23,0.0,1
left,27.808,3,2,23,0.0,1
left,27.82,3,1,23,0.0,1
left,27.82,3,1,23,0.0,1
left,27.82,3,0,0,0.0,1
left,27.836,3,1,23,0.0,1
left,27.836,3,2,23,0.0,1
left,27.836,3,2,23,0.0,1
left,27.852,3,2,23,0.0,1
left,27.852,3,3,23,0.0,1
left,27.852,3,2,23,0.0,1
left,27.908,3,2,23,0.0,1
left,27.908,3,3,23,0.0,1
left,27.908,3,2,23,0.0,1
left,27.956,3,2,23,0.0,1
left,27.956,3,3,23,0.0,1
left,27.956,3,2,23,0.0,1
left,27.988,3,1,23,0.0,1
left,27.988,3,2,23,0.0,1
left,27.988,3,1,23,0.0,1
left,28.004,3,1,23,0.0,1
left,28.004,3,1,23,0.0,1
left,28.004,3,1,23,0.0,1
left,28.028,3,2,23,0.0,1
left,28.028,3,3,23,0.0,1
left,28.028,3,2,23,0.0,1
left,28.052,3,2,23,0.0,1
left,28.052,3,3,23,0.0,1
left,28.052,3,2,23,0.0,1
left,28.072,3,2,23,0.0,1
left,28.072,3,2,23,0.0,1
left,28.072,3,1,23,0.0,1
left,28.088,3,0,0,0.0,1
left,28.088,3,1,23,0.0,1
left,28.088,3,1,23,0.0,1
left,28.104,3,2,23,0.0,1
left,28.104,3,3,23,0.0,1
left,28.104,3,2,23,0.0,1
left,28.12,3,1,23,0.0,1
left,28.12,3,1,23,0.0,1
left,28.12,3,0,0,0.0,1
left,28.144,3,1,23,0.0,1
left,28.144,3,2,23,0.0,1
